-----------------------------------------------------------
Server listening on 7302
-----------------------------------------------------------
Accepted connection from 10.33.33.7, port 50870
[  5] local 10.33.33.36 port 7302 connected to 10.33.33.7 port 7302
[  5]  67.00-68.00  sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
[  5]  68.00-69.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  69.00-70.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  70.00-71.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  71.00-72.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  72.00-73.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  73.00-74.00  sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
[  5]  74.00-75.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  75.00-76.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  76.00-77.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  77.00-78.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  78.00-79.00  sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
[  5]  79.00-80.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  80.00-81.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  81.00-82.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  82.00-83.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  83.00-84.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  84.00-85.00  sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
[  5]  85.00-86.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  86.00-87.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  87.00-88.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  88.00-89.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  89.00-90.00  sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
[  5]  90.00-91.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  91.00-92.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  92.00-93.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  93.00-94.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  94.00-95.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  95.00-96.00  sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
[  5]  96.00-97.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  97.00-98.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  98.00-99.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  99.00-100.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 100.00-101.00 sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
[  5] 101.00-102.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 102.00-103.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 103.00-104.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 104.00-105.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 105.00-106.00 sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
[  5] 106.00-107.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 107.00-108.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 108.00-109.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 109.00-110.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 110.00-111.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 111.00-112.00 sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
[  5] 112.00-113.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 113.00-114.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 114.00-115.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 115.00-116.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 116.00-117.00 sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
[  5] 117.00-118.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 118.00-119.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 119.00-120.00 sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5] 120.00-120.20 sec  23.8 MBytes   995 Mbits/sec    0   28.6 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-120.20 sec  12.9 GBytes   921 Mbits/sec  464             sender
-----------------------------------------------------------
Server listening on 7302
-----------------------------------------------------------
